city,state,country,country_code,latitude,longitude,timezone,population,elevation_m
Greenville,SC,USA,US,34.85262,-82.39401,America/New_York,64579,307
Old Bridge,NJ,USA,US,40.41483,-74.36543,America/New_York,23753,4
Palm Beach Gardens,FL,USA,US,26.82339,-80.13865,America/New_York,52923,5
Lincoln,NE,USA,US,40.8,-96.66696,America/Chicago,277348,367
Saratoga Springs,NY,USA,US,43.08313,-73.78457,America/New_York,27765,91
Palm Bay,FL,USA,US,28.03446,-80.58866,America/New_York,107888,5
Lake Forest,CA,USA,US,33.64697,-117.68922,America/Los_Angeles,82492,148
Rancho Palos Verdes,CA,USA,US,33.74446,-118.38702,America/Los_Angeles,42732,67
Morgantown,WV,USA,US,39.62953,-79.9559,America/New_York,30708,271
Spring,TX,USA,US,30.07994,-95.41716,America/Chicago,54298,37
Upper Marlboro,MD,USA,US,38.81595,-76.74969,America/New_York,667,7
Cape Coral,FL,USA,US,26.56285,-81.94953,America/New_York,175229,1
Lehi,UT,USA,US,40.39162,-111.85077,America/Denver,58486,1391
Lutz,FL,USA,US,28.15112,-82.46148,America/New_York,19344,21
North Haven,CT,USA,US,41.39093,-72.85954,America/New_York,24093,21
Cathedral City,CA,USA,US,33.77974,-116.46529,America/Los_Angeles,53826,100
Chesapeake,VA,USA,US,36.81904,-76.27494,America/New_York,235429,3
North Creek,NY,USA,US,43.69784,-73.98597,America/New_York,616,314
Stamford,CT,USA,US,41.05343,-73.53873,America/New_York,128874,7
Saline,MI,USA,US,42.16671,-83.78161,America/Detroit,9100,250
Gold Coast,Queensland,Australia,AU,-28.00029,153.43088,Australia/Brisbane,640778,194
Tokyo,Tokyo,Japan,JP,35.6895,139.69171,Asia/Tokyo,8336599,194
Boise,ID,USA,US,43.6135,-116.20345,America/Boise,145987,823
Siletz,OR,USA,US,44.72178,-123.92011,America/Los_Angeles,1221,43
Johnstown,PA,USA,US,40.32674,-78.92197,America/New_York,19966,356
Cary,NC,USA,US,35.79154,-78.78112,America/New_York,159769,152
Layton,UT,USA,US,41.06022,-111.97105,America/Denver,74143,1326
Norris City,IL,USA,US,37.98116,-88.32921,America/Chicago,1247,128
Berg,Thurgau,Switzerland,CH,47.57879,9.16635,Europe/Zurich,2942,194
Dillon,SC,USA,US,34.41655,-79.37116,America/New_York,6677,34
Bridgewater,MA,USA,US,41.99038,-70.97504,America/New_York,7841,30
La Veta,CO,USA,US,37.50501,-105.00777,America/Denver,759,2145
Paso Robles,CA,USA,US,35.62664,-120.691,America/Los_Angeles,27157,223
Fort Bragg,CA,USA,US,39.44572,-123.80529,America/Los_Angeles,7289,26
Green Bay,WI,USA,US,44.51916,-88.01983,America/Chicago,105207,180
Malabar,FL,USA,US,28.00363,-80.56561,America/New_York,2936,7
Arcadia,CA,USA,US,34.13973,-118.03534,America/Los_Angeles,58408,147
Sioux Falls,SD,USA,US,43.54997,-96.70033,America/Chicago,171544,448
Springdale,UT,USA,US,37.18887,-112.99855,America/Denver,556,1188
Manteca,CA,USA,US,37.79743,-121.21605,America/Los_Angeles,75448,11
Norwalk,IA,USA,US,41.47555,-93.67883,America/Chicago,10135,288
Northfield,VT,USA,US,44.15117,-72.6565,America/New_York,2101,223
Hope Mills,NC,USA,US,34.97044,-78.94531,America/New_York,16163,34
Toronto,ON,Canada,CA,43.70011,-79.4163,America/Toronto,2600000,194
Hollywood,FL,USA,US,26.0112,-80.14949,America/New_York,149728,3
Bethel,OH,USA,US,39.73034,-83.39353,America/New_York,2530,302
Bay Village,OH,USA,US,41.48477,-81.92208,America/New_York,15402,193
Franklin,TN,USA,US,35.92506,-86.86889,America/Chicago,72639,196
Columbus,GA,USA,US,32.46098,-84.98771,America/New_York,206922,82
Aurora,OR,USA,US,45.23095,-122.75593,America/Los_Angeles,979,48
Mount Clemens,MI,USA,US,42.59726,-82.87798,America/Detroit,16400,184
Gainesville,FL,USA,US,29.65163,-82.32483,America/New_York,141085,54
